Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Very good -- but not up to the hype,2 people found this helpful,Brian S in DC,-,3,2020-08-06T12:59:17,I ve been an Apple user for over 35 years  and I was pretty excited to make the M1 migration now that many apps have been updated for Apple Silicon. I expected to be blown away  and while this is an excellent Apple laptop  and the battery life does live up to the hype  I overall I found it disappointing compared to the reviews. Three things:1. Sure  it may fly if you re doing really CPU heavy things  but for things like  heavy  productivity  I found it no better than my Intel 16 . In fact....2. This could be related to all the stories I read saying   8GB on Apple Silicon is like 16GB on Intel.  Yeah  don t believe those. Again  this may be true for tasks that are well suited for ARM  but heavy productivity work is no better. I keep a decent but not insane amount of Safari tabs open at any time  and that plus having much of anything else open kept the memory pressure graph constantly in the yellow  if not red. And that may or may not be related to the biggest problem which is....3. I had significant problems using my LG 5K display which has worked like a champ with my 16 . Sometimes it would take up to 4 minutes before things  settled down  and I was actually able to use the computer again. That was a dealbreaker.Would 2 and 3 have been better with more memory  or are these M1 growing pains  or something else? I don t know. I ll probably give the 16  a try with 16GB whenever it comes out. For now  this 13  was just too underpowered for my fairly average professional needs.I realize that reviews below 5 stars on this are rare  which I find puzzling for the reasons above. Hope this is helpful to anyone who might be wondering about the downsides.
The best laptop around with longest battery,3 people found this helpful,Maurice Rivera,-,5,2020-08-24T11:59:17,Apple hit it out of the park with the new M1 chip. It outperforms I7 laptop from a year ago by a long shot. Plus outperforms most while having a over 12 hour battery life. I not no Apple fan  but this laptop is great. Plus they finally got rid of the dreaded butterfly keyboard that would fail even when we ll taken care of and when back to the older but mature scissor keyboard design. The screen is accurate  if your looking to upgrade. This is the one to get  or even go with the base model with out touch bar and still will outperform the intel macs and other laptops  while having the best power management on any laptop seen to date  while at a finally reasonable price.
I love it!!,One person found this helpful,Charlotte B.,-,5,2020-09-18T17:59:17,Starting in the early 2000 s I became a strictly Apple girl for all electronic devices. I love the easy integration between devices and as a person with a disability it means a lot to have that interconnect-ability. I previously had a Macbook Pro from 2015 and it was malfunctioning badly. The replacement cost exceeded its value so invested that repair cost into this Macbook Pro. it s come a long way since 2015! I love how light weight it is  I swear it s lighter than my Macbook Air from 2010 was. I like the touch display but I mainly only use it for emojis 🙂. I had Big Sur on my previous Mac but it ran slow. This Macbook works so much faster than what I had before. The screen is brilliant and gorgeous. I had read this Macbook could run any app on my phone. The reality is it s only a few apps. What I wanted to work the most was Instagram  and that does not work on this. There are several apps though and that s a nice feature.I m not techie from a hardware position but I am an advanced user from a software perspective and I am really happy with this this.
Only one external display!,12 people found this helpful,david boll,-,1,2020-03-19T13:59:17,Apple took a big step back on this one! Beware… This M1 computer only serves one remote display.
Just wow,3 people found this helpful,Earth22BoundX,https://images-na.ssl-images-amazon.com/images/I/C1C765-V+CS._SY300.jpg,5,2020-08-01T17:23:17,This is my first Mac ever and it doesn t even compare to my Asus. The speakers are very loud and the touch bar is a great addition. This is definitely a very fast and ver powerful machine
Did not work,7 people found this helpful,Sherman Smith,-,1,2020-03-25T17:59:17,I am a big fan of MacBooks. This was my fourth one in the past 10 years. This one was a LEMON. It worked fine at first but began to freeze on booting. Called Apple three times and walked thorough reloading the IOS and erasing the entire system to reinstall. It then went black screen. Took it to the Apple store and was told in two minutes to send it back. Tried to exchange it for another but apparently you don t have more in stock. Still a fan but sometimes you get a LEMON and are unable to make lemonade.
It's a good upgrade from my old MacBook Pro,One person found this helpful,Amazon Customer in Raleigh  NC,-,5,2020-08-01T17:23:17,I have an aging MacBook Pro (15 ) which I use a great deal. At some point I know it will cease to function well  so I made the leap to the smaller 2020 MacBook Pro (13 ) with the M1 chip. It runs fast  stays cool  and after a month or so of pretty constant usage  has been doing beautifully. Some of the newer features like the touch screen pad have taken me some time to get used to  but I m learning to appreciate them. A word of caution...not all apps and software are quite ready for the M1 chip / Big Sur yet. I m still straddling the world of two MacBooks  the older one running High Sierra and the new one running Big Sur  because some of the apps don t work perfectly on the new MacBook. But all in all  it s a good transition for me.
elegant and powerful,5 people found this helpful,joshua m.,-,5,2020-09-17T17:59:17,I have 3 Macbook pros and they are all pretty old. Mac lasts!! This laptop is absolutely amazing. Its fast  sleek  and has helpful and timesaving features. Probably one of my more favorite purchases in a long time.
HEAVY eye fatigue.,One person found this helpful,Benjie,-,3,2020-06-27T11:59:17,Good MacBook. I owned a 2013 prior to this and vowed to get macbooks for their superior performance.I rated this a 4 because I had some eye strain which was of great irritance. However I just turned off the True Colors and changed the background to a softer color. Problem solved.I also didn t appreciate that now it uses a USB-C type dock. So now I have to get new adapters and wires to connect it s Thunderbolt 3 to other devices). It took me a good three weeks to figure everything out.Despite this I love the sound and picture quality. The touch bar is cool too.** UPDATE after 3 months of useI can t handle the heavy eye fatigue caused from this new macbook. To be honest  I think my vision got worst after using this mac. I m a teacher  so I must look at my screen a lot. Comparing it to another macbook that I owned (a MacBook pro 2013 which I got replaced with this M1)  I got very little eye fatigue from it. Also the design doesn t work if you add a case to it. A case would prevent you to effectively use the USB c ports as the bottom part of a case would interfere with it.
Best Laptop in History,895 people found this helpful,JK Reviews,-,5,2020-04-15T17:59:17,I got my new MacBook Pro M1 two weeks ago and could not be more happy with it. This machine is absolutely incredible in terms of speed  looks  weight/size  display  and battery life - and texture (it feels so good against the skin on my wrists as I type) and basically anything else you can think of. I also love the space gray color  the new keyboard  the Touch Bar  and the larger trackpad. There are so many options to customize the system to work just the way I like.My previous MacBook was the 2011 model and it still works today  but after 10 years it became too slow and the trackpad had trouble clicking  so after a TON of research  I decided to pull the trigger and get the New MacBook Pro with the M1 chip.A couple suggestions I am able to give after spending almost two months and probably over 30 hours researching the new MacBook are: go with the standard model of 8gb of RAM and the 256 ssd - you can get this on Amazon for $1239 vs $1299 at Apple - so you get to save 60 bucks  and you have the added satisfaction of not having to deal with the snobby nerd losers that work in the Apple Store  who asked me rudely when I went in to get a new laptop  umm  do you have an appointment? Well  you re going to have to make an appointment if you want to go in the store . I love Apple products and will never use another phone or computer besides the iPhone and MacBook  but after that experience I will never again give my business to the physical Apple Stores. I mean  seriously  do you really need me to make an appointment to buy a $1300 laptop? Whatever dude.Anyway  in several YouTube videos that compared the 8GB ram model along side the 16GB ram model (costs 200 bucks more)  the 8GB performed just as well in nearly every task - and they really pushed it to the limits. The only reason to pay up for the 16GB RAM is if you want to edit 8K UHD videos or are a super serious music recording artist or highly advanced professional photographer - and even then it s not too much of a difference. For the every day user (me or basically anyone who is not a computer professional) the 8GB working with this new M1 chip is mind-blowing  blows any other laptop on the market completely out of the water  and actually even performs just as well as the $2200 15 inch MacBook Pro using the Intel chip. As far as the storage goes  256 ssd is standard - that s what I got - and you can pay 200 bucks more for 512 ssd or 400 bucks more for 1 TB. But with the Cloud storage available now  you don t really need to keep much on the laptop drive  you can just save it to the cloud.Overall I honestly could go on for hours about every little detail that I absolutely love about this machine. A free one year subscription to Apple TV is also another little perk. But I am still mystified every day at how incredible this machine is. I ve been online for over 3 hours now and its still on 92% battery. The new Retina display is brilliant. Everything is perfect. I truly am in love this laptop and would recommend that anyone looking for a new laptop to last a long time and outperform everything else on the market gets the new matchbook 13 inch M1.
A Marked Improvement Over Intel MacBooks,711 people found this helpful,Ian,-,5,2020-08-13T14:59:17,I primarily use my MacBook Pro for music production and performance. As such  Logic Pro and myriad amp models/plugins are constantly in use on my machine. The M1 chip blows the Intel chips out of the water in terms of loading speed  battery life  and ability to handle large Logic projects with dozens of tracks  plugins  software instruments  and live recordings.Battery life has also seen a significant improvement over my 2020 Intel machine. I am not quite getting double the battery life  but it s not far off. This isn t a huge deal for me  as my machine is typically stationary and a charging cable is readily available  but for someone who needs the portability  the difference is substantial.UPDATE 6/16/21: I have been using this laptop for over 6 months now on a daily basis. I have done everything from Word documents  email  web surfing  Logic Pro  Neural DSP guitar plugins  Adobe Lightroom  Adobe Illustrator  and many other tasks and I do not think that I have even heard the fan come on 1 time. It s pretty astounding. The M1 is still exceedingly snappy and the battery life blows me away. And while more and more apps become native to M1  I d expect performance to do nothing but improve.
MacBook Pro 13 with M1 chip  16 Gb memory,474 people found this helpful,AP,-,5,2020-04-23T14:12:17,I bought my Mac from Apple directly not from Amazon. This thing is amazing. Battery life is awesome. Hard to believe that I can work with it all day and do not have to charge at all even with bright screen.No issues with speed at all. I use Matlab a lot and this computer is even slightly faster than my desktop with 12 core AMD CPU and 32 GB ram.Excellent machine. Happy I bought it.
Amazing,329 people found this helpful,Westmark Consulting,-,5,2020-09-17T17:59:17,I own over 50 computers and it blows away my 11th gen Dell XPS 13 i7  My surface Book 3  my Ryzen 7 Thinkpad. the first week I got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. I felt guilty and charged it. The Geekbench 5 rating beat all those listed laptops and they had 16 or 32GB of memory and the MacBook Pro M1 had only 8GB of unified memory. The keyboard felt great  the sound was superb  the screen bright  and it was blazing fast in all I did. I m an IT consultant and deal in Windows based databases and this Mac has now become my daily go to system at home. It has become my new front end.
I love my Mac,243 people found this helpful,Ancestor Hunter,-,5,2020-05-15T12:59:17,It s a Mac once you go Mac you never go back. This is my second Mac my first lasted almost 9 years.
Good  but expensive,227 people found this helpful,Targaryen,-,2,2020-03-19T13:59:17,Everyone says the new Apple Macbook with an M-1 chip is wonderful. However  I would say something different.For the Macbook pro with an M1 chip  I spent almost twice the price but got the same performance as MacBook air. The only 2 differences are the fan and the touch bar(it s useless).Secondly  would be quality. Once a time I put on the interface  the MacBook turns off itself. I don t know what happened but I m pretty sure this kind of problem should not happen in a computer at such a price.Also  I miss the MagSafe...
Hmmm...,203 people found this helpful,Me2,-,1,2020-07-02T17:54:17,Dead at arrival.... kernel error. Took it to the Apple store they told me looks like a hardware failure and to send it back to Amazon.
Everything I Expected-Except 1 Thing,221 people found this helpful,Kurt Luce,-,5,2020-05-22T11:59:17,I m going to preface this review with the 1 thing I dislike so we can get that out of the way.I mean let s be honest  that s what most people are looking for when buying a product-the down sides.It has a standard 3.5mm headphone jack EVEN THOUGH apple quit using that on it s handheld products years ago.Not that I care  it s good that they include the 3.5mm jack-but how come they didn t include one for their lightning connector that their headphones come in out of the box? Forces you to either change to a standard headphone jack or BT headphones (probably trying to push their AirPods line).Other than that  I have no issues. It s fast  efficient  reliable and easy to use. If your familiar with iOS on these then it ll be a great addition to the tech team you have at home.
MacBook Pro 2020 so sleek  lightweight and FAST!!! LOVE IT!💜,66 people found this helpful,Judy N,https://images-na.ssl-images-amazon.com/images/I/C1S27tmsQlS._SY300.jpg,5,2020-04-17T17:59:17,I love my new MacBook Pro!! It s the 13” and not too small. It s very lightweight! It s so fast! I was using an older MacBook Pro from mid 2012. It worked well  just so slow. This one flies!! I was disappointed that there are no USB ports or CD player. I spent about $65 at Best Buy and got an adapter that works very well!!!
Regret Going M1,38 people found this helpful,Steve,-,1,2020-08-01T17:23:17,The battery lasts forever and its fast. My last macbook had a pretty good battery and worked very well for years too.The M1 does allow for dual external monitors and there are two usbc ports total. These two things can be worked around with dongles and a video hub but now I have $200 worth of accessories and a tangled mess on my desk.How is a 2020 Mac not compatible with dual monitors but my 2005 HP works great with the same monitor setup?!? I really can t get past that.Get the intel version with 4 USB ports and you can use it in your Covid home office out of the box.
Stick with the Intel-based Mac for now...,33 people found this helpful,mkidwel2,-,2,2020-02-22T16:59:17,I really wanted to love this laptop. I ve had only Macs for years. This was supposed to be an upgrade from my 2014 MacBook Air. I previously had a 2020 16  intel based MacBook Pro for work configured with two HP monitors. No issues with the monitors and connected instantly with zero effort to get the screens to work with the laptop. Bought this one and connected to my Belkin hub for the HDMIs. Would only connect a single monitor. Googled the issue and found that the new M1 apple chip only supports a single monitor. News to me and I guess I should have researched more. However the low rating stems from the fact that this is a PRO laptop. A professional would want two monitors and should not have to google whether a PRO laptop supports more than 1 monitor when the intel version does seamlessly. Despite this I had planned to keep it and just deal with 1 monitor because of the cost savings over buying the Intel based MacBook Pro and wanted the longer battery life. Now brings me to the issue that made me return the laptop. This laptop just would not configure to show a clear resolution with my monitors. The scale was off and the display just stayed blurry no matter what setting I changed it to on the monitor or the laptop s settings. Tried and tried and just gave up. Returned this and ordered an Intel based 13  MacBook Pro. No issues  supports dual monitors  and seamlessly integrated to the laptop. No blurry screen and no having to set or change any settings to get it to work. I am floored that Apple would produce a Pro for business that only supports a single monitor. I love Apple but will not buy anything with their chip until the kinks are worked out.
Best keyboard EVER,35 people found this helpful,J. Lopes,-,5,2020-08-06T12:59:17,Coming from years and years of PC  I must say that this 13  M1 Macbook Pro is an Internet beast. I also use it for Lightroom  Photoshop  Affinity suite  Capture One  FL Studio and I have zero complaints. I hadn t had a mac since the mid 90 s and I was a huge fan then  but PC s just offer so much more for the money.The ports are an issue and you will need to buy a dock like device because you ll need it to hookup older devices or more than two devices at some point.GET THE 16GB model - While I have no issues with RAM so far  I believe the 16GB model should be the base model because the hibernation/sleep is going to kill the NAND hard drive eventually from writing to disk every time you close the lid.There is an issue with the keyboard that I haven t been able to replicate  but the delete key will enter a state where it doesn t work  though the keyboard still functions. I have to close whatever window I m typing in in order to get the delete key working again. It s not random  but I haven t figured out what two key combo is causing the problem or if it s just in twitter.The screen is 100% accurate (close enough) out of the box - The reason I got the macbook pro is because of the issues I was having with my 15  Dell XPS  which is a beast  color discrepancy when exporting. The colors were always over saturated and I had to guess what settings to use to counter the output. I did everything imaginable and always color calibrate with Spyder (for 10 years I ve done this) but the accuracy was never the same on other screens  printing or web postings.I never used the touch screen on the XPS. I hate smudged screens.THE BATTERY LIFE is insane  as you ve probably heard. 2 days  all day  no issues surfing the web at whatever levels are auto adjusted for on battery usage.The touchpad - While really good  there are times when the two finger scrolling skips around  but overall  is a good experience.I m not a fan of the operating system at all  just like iOS  it s just too clunky and cluttered. Something odd coming from a company who builds incredible hardware with fantastic esthetic designs.
Unbelievable! One day after the return window closed,26 people found this helpful,Amazon Customer,https://images-na.ssl-images-amazon.com/images/I/811+1OA29pL._SY300.jpg,1,2020-09-17T17:59:17,There is no fix for this  and now it can t be returned. All that money wasted!!! There is a vertical black line on the screen. I tried to fix it using tips from youtube videos and none of it worked. Proceed with caution!
This Macbook turned me away from Apple,30 people found this helpful,chris kaffer,-,2,2020-07-12T13:59:17,I am an Apple guy. I converted from PC ~ 2008 and have loved every apple device until the IPhone X and the new Macbook with M1 chip. Where to start? First  as is a major complaint for everyone  the Macbook pro has all of two ports (yes yes  I know  this was listed in the specs. It doesn t make it ok). If I need to be plugged in  I have 1 port remaining. It is incredibly idiotic that I have to buy a dock to expand my ports. Oh and the ports are only Thunderbolt in Apple s continuing stupidity of forcing the market to adopt its garbage. I did not buy a Mac Air for a reason  yet the Macbook pro comes with all the limitations of an Air. The new charging cable lacking magnetic attachment makes zero sense. The track pad is beyond finicky to the point of being useless. I have no bluetooth connectivity. I get incessant windows telling me to log into podcasts or apple music. I see zero performance improvements with the M1chip. In fact  doing a side-by-side video recording with Quicktime (all parameters equalized) I have a severe lag with M1 Mac  but not with the Intel driven machine. And the touch bar is about the worst idea ever. I constantly dim the back light  or go back on web pages because of it. Absolute trash. I bought this computer for work and will be designating it as a laptop for our interns  because that s how terrible it is. I will not be duped into replacing this hunk of garbage with the forthcoming Macbook Pro in which the port and charging issues have been fixed.So now begins the massive switching costs for foolishly demonstrating brand loyalty to a company who has none for its customers.
Pinwheel of Death! M1 chipset a no go for me until they fix software!,30 people found this helpful,Mr. D,-,2,2020-09-25T15:59:17,Update 8/10/21A few updates now have made the pinwheel subside quite a bit  hope that future updates will make it go away for good.Previous:I constantly get the pinwheel when switching between programs I.E. Explorer  Outlook  Teams  amazon music  notes  etc. These are not high power requirement applications. It is especially bad when docking and undocking from my workstation. I have my previous MacBook Pro setup exactly like this model and it powers through without issues. The problem has gotten so bad that I have momentarily switched back to my previous one until Apple gets the software figured out with some updates. Disappointing!
First Apple,24 people found this helpful,Michael,-,5,2020-07-12T17:12:17,Had Windows based computers since day one. Always something going on with them. I ve had at least 10 windows computers and decided it was time to try an Apple. Well I got to say I love this computer. A little bit of a learning curve but not a stumbling block. Don t let the 13” fool you. It s an awesome screen size and so sharp. I would recommend this computer to anyone.
Perfect!,26 people found this helpful,T123,-,5,2020-07-12T17:12:17,I don t normally write reviews  but since I spent $1500 on this MacBook Pro M1 13  from Amazon I have been very pleased. I have had it for less than a month and so far everything seems to be in perfect working order! I really love it to be honest. I was skeptical and a bit anxious about buying from Amazon instead of Apple directly  but I can say that there is no difference and it seems I got it $100 cheaper on Amazon and 2 day shipping. Just make sure it s sold and fulfilled by Amazon. All in all very pleased. For anyone on the fence about it you shouldn t be. Screen is bright  speakers are amazing  keyboard feels very nice  and battery is great!
Best. Laptop. Ever,12 people found this helpful,Emanuel Boak,-,5,2020-07-23T17:59:17,I can t make this thing quit. When I open more tabs  more videos  more music... Video editing and music making software with multiple tabs open while on a zoom call and watching youtube... It still doesn t skip a beat.. It does all of this while keeping a core temperature a third of the previous Intel based Macbook pro s. Also not sure what its doing in there  but when I think my RAM is about to be all used up  I open up one more thing  and the RAM usage goes down..?!?! So confused  but I love it! The keyboard is amazing  as usual  and I actually enjoy the touch bar. I have read and heard complaints or people saying the touch bar is useless  but I use it all the time when I am editing videos and music. Even when I am messaging I love the emoji s are right there! It s an amazing laptop  for $1199.00 it is totally worth it. I did get an external SSD hard drive for more storage  but everything else is perfect. 8GB of unified RAM feels better than 16GB of normal RAM. If you re torn on that  do not worry about the RAM  you would have to be a big time movie editor to slow this thing down  MAYBE. Oh  and the battery life is crazy long! I don t have to charge it at all in a days worth of everything I do with it. And it s virtually noise free. I was going to wait for the 2021 model  but they postponed the date  and also informed that the M1X chip is only going to be on the higher priced models  which I wouldn t be getting anyway cuz I m not rich. You will love this  push Buy Now and smile!
Thanks to AMAZON i lost my job interview,18 people found this helpful,prashant,-,1,2020-06-26T14:59:17,So i got this item which was not working and had the camera going crazy with green lines all around. I asked amazon for getting a working laptop for my interview and they said we dont replace items that are electronics which is weird since my friend faced similar issue and he got a working laptop. And due to all this i had to re-schedule my interview and the company said we will be moving on with other candidates this time.Thank you AMAZON
Thinner Lack of Ports Still Cool Though 👍,17 people found this helpful,Sean,https://images-na.ssl-images-amazon.com/images/I/91TKKhgTdIL._SY300.jpg     ;     https://images-na.ssl-images-amazon.com/images/I/91ZRvCGW0GL._SY300.jpg,4,2020-09-05T17:59:17,It s a Macbook Pro bro. What s there not to like. It s been 9yrs since my 2012 Macbook Pro purchase and I still use it. I just have to keep it plugged in because I can t find a good battery replacement for it. This M1 is much thinner. 😯 I would say half as thin as the 12 retina model.Battery life seems good but it was good on my last one. I can use it all day. Button press trackpad even the touchbar is good. I do not understand the complaints about the touchbar. I find it kinda cool and ok. Maybe my opinion will change after some use.The speed is what everyone raves about. I don t see it. It may be slightly faster but it s hard to tell just how much faster. When I open or load it doesn t seem super fast as everyone claims. I m sure it s faster but it s not like its drastically noticeable.I had one issue initially. I set up my fingerprint ID and all was fine until one day it didn t work and it asked me for my password. I could not remember my password and it took a whole day to figure out how to reset it. So far it s only happened once and I hope it doesn t happen again because using the fingerprint scanner I forgot my password already.😄The audio is good. Definitely not tinny or hollow its that good quality audio you expect. Good full sound. Volume is ok too could maybe be a little louder.I do not like that it has no ports. Just 2 usb C slots. 😐 You will have to buy an adapter. At least they kept the headphone jack. I also do not like clicking to drag n drop. I don t see any settings that I can change for this. I like being able to tap and 2 finger drag.I was expecting this to be really fast because that s what they were bragging about but for the money I maybe should have got the air with more GB. But the camera and sound is better on this one. The screen doesn t look as HD as the retina model seems a little flat but it s good. Overall you know the quality of Apple. I will most likely always have a Macbook Pro. 😉👍
Best Laptop in History,895 people found this helpful,JK Reviews,-,5,2020-08-06T12:59:17,I got my new MacBook Pro M1 two weeks ago and could not be more happy with it. This machine is absolutely incredible in terms of speed  looks  weight/size  display  and battery life - and texture (it feels so good against the skin on my wrists as I type) and basically anything else you can think of. I also love the space gray color  the new keyboard  the Touch Bar  and the larger trackpad. There are so many options to customize the system to work just the way I like.My previous MacBook was the 2011 model and it still works today  but after 10 years it became too slow and the trackpad had trouble clicking  so after a TON of research  I decided to pull the trigger and get the New MacBook Pro with the M1 chip.A couple suggestions I am able to give after spending almost two months and probably over 30 hours researching the new MacBook are: go with the standard model of 8gb of RAM and the 256 ssd - you can get this on Amazon for $1239 vs $1299 at Apple - so you get to save 60 bucks  and you have the added satisfaction of not having to deal with the snobby nerd losers that work in the Apple Store  who asked me rudely when I went in to get a new laptop  umm  do you have an appointment? Well  you re going to have to make an appointment if you want to go in the store . I love Apple products and will never use another phone or computer besides the iPhone and MacBook  but after that experience I will never again give my business to the physical Apple Stores. I mean  seriously  do you really need me to make an appointment to buy a $1300 laptop? Whatever dude.Anyway  in several YouTube videos that compared the 8GB ram model along side the 16GB ram model (costs 200 bucks more)  the 8GB performed just as well in nearly every task - and they really pushed it to the limits. The only reason to pay up for the 16GB RAM is if you want to edit 8K UHD videos or are a super serious music recording artist or highly advanced professional photographer - and even then it s not too much of a difference. For the every day user (me or basically anyone who is not a computer professional) the 8GB working with this new M1 chip is mind-blowing  blows any other laptop on the market completely out of the water  and actually even performs just as well as the $2200 15 inch MacBook Pro using the Intel chip. As far as the storage goes  256 ssd is standard - that s what I got - and you can pay 200 bucks more for 512 ssd or 400 bucks more for 1 TB. But with the Cloud storage available now  you don t really need to keep much on the laptop drive  you can just save it to the cloud.Overall I honestly could go on for hours about every little detail that I absolutely love about this machine. A free one year subscription to Apple TV is also another little perk. But I am still mystified every day at how incredible this machine is. I ve been online for over 3 hours now and its still on 92% battery. The new Retina display is brilliant. Everything is perfect. I truly am in love this laptop and would recommend that anyone looking for a new laptop to last a long time and outperform everything else on the market gets the new matchbook 13 inch M1.
A Marked Improvement Over Intel MacBooks,711 people found this helpful,Ian,-,5,2020-08-06T12:59:17,I primarily use my MacBook Pro for music production and performance. As such  Logic Pro and myriad amp models/plugins are constantly in use on my machine. The M1 chip blows the Intel chips out of the water in terms of loading speed  battery life  and ability to handle large Logic projects with dozens of tracks  plugins  software instruments  and live recordings.Battery life has also seen a significant improvement over my 2020 Intel machine. I am not quite getting double the battery life  but it s not far off. This isn t a huge deal for me  as my machine is typically stationary and a charging cable is readily available  but for someone who needs the portability  the difference is substantial.UPDATE 6/16/21: I have been using this laptop for over 6 months now on a daily basis. I have done everything from Word documents  email  web surfing  Logic Pro  Neural DSP guitar plugins  Adobe Lightroom  Adobe Illustrator  and many other tasks and I do not think that I have even heard the fan come on 1 time. It s pretty astounding. The M1 is still exceedingly snappy and the battery life blows me away. And while more and more apps become native to M1  I d expect performance to do nothing but improve.
MacBook Pro 13 with M1 chip  16 Gb memory,474 people found this helpful,AP,-,5,2020-01-11T11:59:17,I bought my Mac from Apple directly not from Amazon. This thing is amazing. Battery life is awesome. Hard to believe that I can work with it all day and do not have to charge at all even with bright screen.No issues with speed at all. I use Matlab a lot and this computer is even slightly faster than my desktop with 12 core AMD CPU and 32 GB ram.Excellent machine. Happy I bought it.
